**********
Total number of connected components: 41948
**********
Word | # Components | Max Degree :# Vertices w/ Max Degree | Word List w/ Max Degree
abound                       |    3 |    1 : 3    | ['abundant', 'around', 'astound'] 
about                        |   27 |    9 : 1    | ['out'] 
about-face                   |    1 |    1 : 1    | ['reverse'] 
abouts                       |    2 |    1 : 2    | ['there', 'where'] 
above                        |   27 |   18 : 1    | ['below'] 
abra                         |    2 |    1 : 2    | ['kadabra', 'materialize'] 
abracadabra                  |    8 |    1 : 8    | ['acadaca', 'al-bab', 'cadaver', 'incantation', 'razzledazzzzle', 'wand', 'wish', 'wizardry'] 
abrade                       |    4 |    1 : 4    | ['debridement', 'rasp', 'rub', 'scold'] 
abraded                      |    2 |    1 : 2    | ['chafed', 'scrapped'] 
abraham                      |    5 |    2 : 1    | ['lincoln'] 
abramovich                   |    2 |    1 : 2    | ['malkovich', 'oligarch'] 
abrams                       |    2 |    2 : 1    | ['tank'] 
abrasion                     |    2 |    1 : 2    | ['bruise', 'contusion'] 
abrasive                     |    4 |    1 : 4    | ['personality', 'rock', 'rough', 'scratch'] 
abroad                       |   18 |    5 : 1    | ['travel'] 
abrogate                     |    7 |    1 : 7    | ['agitate', 'agreement', 'breaker', 'contract', 'gallowgate', 'repeal', 'watergate'] 
abrs                         |    2 |    1 : 2    | ['dublin', 'sky'] 
abrubt                       |    2 |    1 : 2    | ['acute', 'death'] 
abrupt                       |    4 |    1 : 4    | ['distasteful', 'gruff', 'quick', 'short'] 
abs                          |   11 |    2 : 1    | ['muscles'] 
abscess                      |    2 |    1 : 2    | ['bacteria', 'drainage'] 
abscission                   |    2 |    1 : 2    | ['anatomy', 'leaves'] 
abscond                      |    6 |    1 : 6    | ['defect', 'escaped', 'grab', 'leave', 'levant', 'thievery'] 
abseil                       |    2 |    1 : 2    | ['descend', 'repel'] 
absence                      |    8 |    1 : 8    | ['blank', 'empty', 'heart', 'leave', 'none', 'nothing', 'tardy', 'to'] 
absent                       |   11 |    4 : 2    | ['away', 'missing'] 
absenteeism                  |    2 |    1 : 2    | ['fired', 'worked'] 
absentminded                 |    8 |    3 : 1    | ['scatterbrained'] 
absinthe                     |    2 |    1 : 2    | ['hickory', 'wormwood'] 
absolut                      |    3 |    2 : 1    | ['vodka'] 
absolute                     |   30 |    7 : 1    | ['zero'] 
absolutely                   |   28 |    4 : 1    | ['positively'] 
absolutelynothin             |    2 |    1 : 2    | ['void', 'war'] 
absolutelynothing            |    1 |    1 : 1    | ['skint'] 
absolutes                    |    2 |    1 : 2    | ['jedi', 'rigidity'] 
absolution                   |    4 |    1 : 4    | ['dreams', 'forgiven', 'nothing', 'solution'] 
absolutist                   |    2 |    1 : 2    | ['fascist', 'totalitarianism'] 
absolved                     |    3 |    1 : 3    | ['lost', 'loved', 'pardon'] 
absolving                    |    1 |    1 : 1    | ['resolving'] 
absorb                       |   20 |    2 : 3    | ['learn', 'sponge', 'water'] 
